ಎರಡು	[eraḍu]\nдва
ಅವಳು	[avaḷu]\nона
ಅವರಿಬ್ಬರು	[avaribbaru]\nони двое
ಹೆಂಡತಿ	[heṇḍati]\nжена
ಮಗು	[magu]\nмальчик,‌ ребёнок
ಒಂದು	[ondu]\nодин
ಕುಟುಂಬ	[kuṭumba]\nсемья
ನನ್ನ	[nanna]\nмой
ಇಲ್ಲಿ	[illi]\nздесь
ಇದು	[idu]\nэто (рядом)
ನಾವು	[nāvu]\nмы
ಎಲ್ಲರು	[ellaru]\nвсе
ಅವರುಗಳೆಲ್ಲರು	[avarugaḷellaru]\nони все
ತಾತ	[tāta]\nдедушка
ಅಜ್ಜಿ	[ajji]\nбабушка
ತಂದೆ	[tande]\nотец
ಚಿಕ್ಕಪ್ಪ	[cikkappa]\nдядя (маленький папа = младший брат отца или матери)
ದೊಡ್ಡಪ್ಪ	[doḍḍappa]\nдядя (большой папа = старший брат отца или матери)
ಚಿಕ್ಕಮ್ಮ	[cikkamma]\nтётя (маленькая мама = младшая сестра отца или матери)
ದೊಡ್ಡಮ್ಮ	[doḍḍamma]\nтётя (большая мама = старшая сестра отца или матери)
ಸಂಸಾರ	[sansāra]\nсемья
ಚಿಕ್ಕ	[cikka]\nмаленький
ದೊಡ್ಡ	[doḍḍa]\nбольшой
ಅಲ್ಲ	[alla]\nне
ಇಲ್ಲ	[illa]\nнет
ಈ	[ī]\nэтот (рядом)
ಆ	[ā]\nтот (вдали)
ನಮಸ್ಕಾರ	[namaskāra]\nприветствие
ಹೇಗಿದ್ದೀರಿ	[hēgiddīri]\nкак дела?
ಯುರೋಪ್	[yurōp]\nЕвропа
ಅಮೇರಿಕ	[amērika]\nАмерика
ಏಶೀಯು	[ēśīyu]\nАзия
ಯಾವ	[yāva]\nкакой, который
ಸಮಯ	[samaya]\nвремя
ಪ್ರದೇಶ	[pradēśa]\nобласть, штат
ರಜ	[raja]\nвыходной
ಭೇಟಿ	[bhēṭi]\nвизит
ವಿಳಾಸ	[viḷāsa]\nадрес
ಕ್ಷಮಿಸಿ	[kṣamisi]\nизвините
ಬೇರೆ	[bēre]\nдругое
ಕೆಲಸ	[kelasa]\nработа
ಹೋಗಿ ಬರುತ್ತೇನೆ	[hōgi baruttēne]\nдо свидания (уходя прихожу)
ಮೂರು	[mūru]\nтри
ನಾಲ್ಕು	[nālku]\nчетыре
ಐದು	[aidu]\nпять
ಎಂಟು	[eṇṭu]\nвосемь
ಹತ್ತು	[hattu]\nдесять
ನೂರು	[nūru]\nсто
ಸಾವಿರ	[sāvira]\nтысяча
ಲಕ್ಷ	[lakṣa]\nлакх,‌ сто тысяч (100000)
ಕೋಟಿ	[kōṭi]\nкрор, десять миллионов (10000000)
ಎಲ್ಲಾ	[ellā]\nвесь, вся, все, всё
ಸುತ್ತಲು	[suttalu]\nвокруг
ಅಕ್ಷರವು	[akṣaravu]\nбуква
ಮಾಡು	[māḍu]\nделать
ಅಕ್ಕ	[akka]\nстаршая сестра
ತಂಗಿ	[taṅgi]\nмладшая сестра
ಅದು	[adu]\nэто (там)
ಅಣ್ಣ	[aṇṇa]\nстарший брат
ತಮ್ಮ	[tamma]\nмладший брат
ಹೌದು	[haudu]\nда
ಕಾದಂಬರಿ	[kādambari]\nроман (литературная форма)
ಪುಸ್ತಕ	[pustaka]\nкнига
ಹುಡುಗ	[huḍuga]\nмальчик
ಹುಡುಗಿ	[huḍugi]\nдевочка
ಪೆನ್ನು	[pennu]\nручка
ಹೆಸರು	[hesaru]\nимя
ಅಧ್ಯಾಪಕ	[adhyāpaka]\nучитель
ಅಧ್ಯಾಪಕಿ	[adhyāpaki]\nучительница
ಮಾತ್ರುಭಾಷೆ	[mātrubhāṣe]\nродной язык
ರಾಜ್ಯ	[rājya]\nштат
ವಿಧ್ಯಾರ್ಥಿ	[vidhyārthi]\nстудент (м.р.)
ಕಾಲೇಜು	[kālēju]\nколледж
ಕವನ	[kavana]\nпоэма
ಕಥೆ	[kathe]\nрассказ
ಅಂಗಿ	[aṅgi]\nрубашка
ಕಾವಲುಗಾರ	[kāvalugāra]\nохранник
ಜವಾನ	[javāna]\nслуга (м.р)
ಮರ	[mara]\nдерево
ಕುರ್ಚಿ	[kurci]\nстул
ಕಛೇರಿ	[kachēri]\nофис
ಕರ್ನಾಟಕ	[karnāṭaka]\nКарнатака
ಹಾಡು	[hāḍu]\nпесня
ಸಂಗೀತ	[saṅgīta]\nмузыка
ನಾಯಕ	[nāyaka]\nгерой
ರಾಜ	[rāja]\nцарь
ಹಿರಿ	[hiri]\nстарший
ಕಿರಿ	[kiri]\nмаленький, младший
ರಾಜಧಾನಿ	[rājadhāni]\nстолица
ಗುರು	[guru]\nгуру, учитель
ಊರು	[ūru]\nдеревня, родной город
ಬಾಗಿಲು	[bāgilu]\nдверь
ಕಾಡು	[kāḍu]\nлес
ಹಸು	[hasu]\nкорова
ಕರು	[karu]\nтелёнок
ಬಂಧು	[bandhu]\nродственник
ಶತ್ರು	[śatru]\nвраг
ಬಡಾವಣೆ	[baḍāvaṇe]\nпригород
ಸಣ್ಣ	[saṇṇa]\nмаленький
ಹತ್ತಿರ	[hattira]\nрядом, локативный послелог, признак временного владения: ನಿನ್ನ ಹತ್ತಿರ ಪೆನ್ನು ಇದೆಯಾ? - у тебя есть ручка? ср. там. இடம்: உன்னிடம் பேனா இருக்கிறதா?
ಹಳೆಯ	[haḷeya]\nстарый
ಹೊಸ	[hosa]\nновый
ಅರಮನೆ	[aramane]\nдворец
ಗಡಿಯಾರ	[gaḍiyāra]\nчасы
ನಟ	[naṭa]\nактёр
ನಟಿ	[naṭi]\nактриса
ಪಟ್ಟಣ	[paṭṭaṇa]\nнебольшой город
ಮನುಶ್ಯ	[manuśya]\nчеловек
ಹೆಂಗಸು	[heṅgasu]\nженщина
ಬಾಡಿಗೆ	[bāḍige]\nаренда, арендованный
ಸ್ವನ್ತ	[svanta]\nсвой
ಸ್ವಲ್ಪ	[svalpa]\nнемного, чуть-чуть
ಎಲ್ಲಿ	[elli]\nгде?
ಅಲ್ಲಿ	[alli]\nтам
ಯಾವುದಾದರೂ	[yāvudādarū]\nкакой-нибудь (ср. там. ஏதாவது)
ಯಾವುದೂ	[yāvudū]\nвсе или ни одного (ср. там. யாராவதும்)
ದೂರ	[dūra]\nдалеко
ಥಿಯೇಟರ್	[thiyēṭar]\nтеатр
ಗುರುತು	[gurutu]\nпримета, отметка, особенность
ಮುಂದೆ	[munde]\nперед
ಹಿಂದೆ	[hinde]\nсзади
ಅಂಗಡಿ	[aṅgaḍi]\nмагазин
ಪಕ್ಕ	[pakka]\nсторона
ತೆಂಗು	[teṅgu]\nкокос
ಸುಮಾರು	[sumāru]\n(пр.) средний, обыкновенный (нар.) вокруг, около, примерно
ಎನ್ಥವರು	[enthavaru]\nкакой? (о человеке)
ಒಳ್ಳೆಯ	[oḷḷeya]\nхороший
ಕೆಟ್ಟ	[keṭṭa]\nплохой
ಶರ್ಟು	[śarṭu]\nрубашка
ಸೀರೆ	[sīre]\nсари (женская одежда)
ಚಪ್ಪಲಿ	[cappali]\nшлёпанцы
ಆನೆ	[āne]\nслон
ಜಾಗ	[jāga]\nсвободное место,‌ пространство
ಆಸ್ಪತ್ರೆ	[āspatre]\nбольница
ಮೇಜು	[mēju]\nстол
ಮಂಚ	[man̄ca]\nкровать
ಮೇಲ	[mēla]\nна, над
ಕೆಳ	[keḷa]\nпод
ಯಾರು	[yāru]\nкто?
ಏನು	[ēnu]\nчто?
ಯಾಕೆ	[yāke]\nпочему?
ಹೇಗೆ	[hēge]\nкак?
ಎಲ್ಲಿಯಾದರೂ	[elliyādarū]\nгде-нибудь
ಯಾರಾದರೂ	[yārādarū]\nкто-нибудь
ಏನಾದರೂ	[ēnādarū]\nчто-нибудь
ಯಾಕಾದರೂ	[yākādarū]\nпо какой-то причине
ಹೇಗಾದರೂ	[hēgādarū]\nкак-нибудь
ಇದೆ	[ide]\nоно есть (ср. там. இருக்கிறது) (отрицание нахождения ಇಲ್ಲ illa)
ಎಡ	[eḍa]\nлево
ಬಲ	[bala]\nправо
ಕನ್ನಡಿ	[kannaḍi]\nзеркало
ಕಿಟಕಿ	[kiṭaki]\nокно
ಗಣಿ	[gaṇi]\nшахта, прииск
ಚಿನ್ನ	[cinna]\nзолото
ಬೆಂಕಿ ಪಟ್ಟಣ	beṅki paṭṭaṇa коробок спичек
ಬೆಂಕಿ	[beṅki]\nогонь
ಒಂಬತ್ತು	[ombattu]\nдевять
೧	цифра 1
೨	цифра 2
೩	цифра 3
೪	цифра 4
೫	цифра 5
೬	цифра 6
೭	цифра 7
೮	цифра 8
೯	цифра 9
೧೦	цифра 10
ನೀವು	[nīvu]\nвы
ತುಂಬಾ	[tumbā]\nочень
ಸೋಮವಾರ	[sōmavāra]\nпонедельник
ಮಂಗಳವಾರ	[maṅgaḷavāra]\nвторник
ಬುಧವಾರ	[budhavāra]\nсреда
ಗುರುವಾರ	[guruvāra]\nчетверг
ಶುಕ್ರವಾರ	[śukravāra]\nпятница
ಶನಿವಾರ	[śanivāra]\nсуббота
ಭಾನುವಾರ	[bhānuvāra]\nвоскресенье
ಇಂದು	[indu]\nсегодня
ನಿನ್ನೆ	[ninne]\nвчера
ನಾಳೆ	[nāḷe]\nзавтра
ಸೊನ್ನೆ	[sonne]\nноль
ಆಮೇಲೆ	[āmēle]\nпосле
ಇನ್ನೇನು	[innēnu]\n(ಇನ್ನೂ ещё + ಏನು что?) что-то ещё?
ಎಷ್ಟು	[eṣṭu]\nсколько
ಅಷ್ಟು	[aṣṭu]\nстолько
ಇಷ್ಟು	[iṣṭu]\nстолько
ಕಡಿಮೆ	[kaḍime]\nменьше
ಕಂತೆ	[kante]\nпучок, связка
ಸೊಪ್ಪು	[soppu]\nлист
ಕೊತ್ತುಂಬರಿ	[kottumbari]\nкориандр
ಕೋಳಿ	[kōḷi]\nкурица
ಮೊಟ್ಟೆ	[moṭṭe]\nяйцо
ಜಾಸ್ತಿ	[jāsti]\nвысокий
ಟೋಮ್ಯಾಟೊ	[ṭōmyāṭo]\nтомат
ತರಕಾರಿ	[tarakāri]\nовощи
ತಾಜ	[tāja]\nсвежий
ಬದನೆಕಾಯಿ	[badanekāyi]\nбаклажан
ಬೆಲೆ	[bele]\nцена
ಹಬ್ಬ	[habba]\nпраздник
ಬೆಂಡೆಕಾಯಿ	[beṇḍekāyi]\nокра, бамия (абельмош съедобный)
ವಯಸ್ಸು	[vayassu]\nвозраст
ಸಾಮಾನು	[sāmānu]\nбагаж, вещи
ಸೌತೆಕಾಯಿ	[sautekāyi]\nогурец
ಹುರಳಿಕಾಯಿ	[huraḷikāyi]\nфасоль
ಕಿಲೋ	[kilō]\nкилограмм
ಅರ್ಧ	[ardha]\nполовина
ಬೇಕು	[bēku]\nнужно (ср. там. வேண்டும்)
ಬೇಡ	[bēḍa]\nне нужно (ср. там. வேண்டாம்)
ಚಪಾತಿ	[capāti]\nчапати
ದೋಸೆ	[dōse]\nдоса
ರೂಪಾಯಿ	[rūpāyi]\nрупия
ಪೈಸೆ	[paise]\nпайс (1/100 рупии)
ಹನ್ನೊಂದು	[hannondu]\nодиннадцать (ಹತ್ತು + ಒಂದು)
ಹನ್ನೆರಡು	[hanneraḍu]\nдвенадцать (ಹತ್ತು + ಎರಡು)
ಹದಿಮೂರು	[hadimūru]\nтринадцать (ಹತ್ತು + ಮೂರು)
ಹದಿನಾಲ್ಕು	[hadinālku]\nчетырнадцать (ಹತ್ತು + ನಾಲ್ಕು)
ಹದಿನೈದು	[hadinaidu]\n(ಹತ್ತು + ಐದು) пятнадцать
ಹದಿನಾರು	[hadināru]\nшестнадцать (ಹತ್ತು + ಆರು)
ಹದಿನೇಳು	[hadinēḷu]\nсемнадцать (ಹತ್ತು + ಏಳು)
ಹದಿನೆಂಟು	[hadineṇṭu]\nвосемнадцать (ಹತ್ತು + ಎಂಟು)
ಹತ್ತೊಂಬತ್ತು	[hattombattu]\nдевятнадцать (ಹತ್ತು + ಒಂಬತ್ತು)
ಇಪ್ಪತ್ತು	[ippattu]\nдвадцать
ಇಪ್ಪತ್ತೊಂದು	[ippattondu]\nдвадцать один (ಇಪ್ಪತ್ತು + ಒಂದು)
ಇಪ್ಪತ್ತೆರಡು	[ippatteraḍu]\nдвадцать два (ಇಪ್ಪತ್ತು + ಎರಡು)
ಮೂವತ್ತು	[mūvattu]\nтридцать (ಮೂರು x ಹತ್ತು)
ನಲ್ವತ್ತು	[nalvattu]\nсорок (ನಾಲ್ಕು x ಹತ್ತು)
ಅಯ್ವತ್ತು	[ayvattu]\nпятьдесят (ಐದು х ಹತ್ತು)
ಅರವತ್ತು	[aravattu]\nшестьдесят (ಆರು х ಹತ್ತು)
ಎಪ್ಪತ್ತು	[eppattu]\nсемьдесят (ಏಳು х ಹತ್ತು)
ಎಂಬತ್ತು	[embattu]\nвосемьдесят (ಎಂಟು х ಹತ್ತು)
ತೊಂಬತ್ತು	[tombattu]\nдевяносто (ಒಂಬತ್ತು х ಹತ್ತು)
ಅರೆ	[are]\nполовина: ಎಂಟೂವರೆ [eṇṭūvare] восемь с половиной
ಮಾಲು	[mālu]\nтовары
ಕಾಯಿ	[kāyi]\n(незрелый, но вполне уже выросший) фрукт, орех, фасоль
ಎಂವೆಲಪ್	[envelap]\nконверт
ಸ್ಟಾಕ್	[sṭāk]\nпродажа (stock)
ಸ್ಟ್ಯಾಂಪ್	[sṭyāmp]\nпочтовая марка
ಕಾರ್ಡ್	[kārḍ]\nкарточка, открытка
ಸ್ನೇಹ	[snēha]\nдружба
ಸ್ನೇಹಿತ	[snēhita]\nдруг
ಸಿಗರೇಟ್	[sigarēṭ]\nсигарета
ಹಾಸ್ಟೆಲ್	[hāsṭel]\nхостел
ತಮಿಳ್	[tamiḷ]\nтамильский
ಂ	[aṁ]\nанусвара
ಃ	[aḥ]\nвисарга
ರಸ	[rasa]\nсок
ಮದ್ಯ	[madya]\nалкоголь
ಮರಿಯು	[mariyu]\nдетёныш млекопитающего, ребёнок
ಬಾತು	[bātu]\nутка
ಮೇಕೆ	[mēke]\nкоза
ಗೂಬೆ	[gūbe]\nсова
ಗಿಣಿ	[giṇi]\nпопугай
ಪಾರಿವಾಳ	[pārivāḷa]\nголубь
ಕುರಿ	[kuri]\nовца
ಕೊಳಲು	[koḷalu]\nфлейта
ಹಾಡುಗಾರ	[hāḍugāra]\nпевец
ಕೂಸು	[kūsu]\nмаленький ребёнок, младенец
ಸ್ನೇಹಿತೆ	[snēhite]\nподруга
ಪಂಚಾಂಗ	[pan̄cāṅga]\nкалендарь
ಶರತ್ಕಾಲ	[śaratkāla]\nосень
ಚಳಿಗಾಲ	[caḷigāla]\nзима
ವಸಂತ	[vasanta]\nвесна
ಬೇಸಿಗೆ	[bēsige]\nлето
ವರ್ಷ	[varṣa]\nгод
ಶತಮಾನ	[śatamāna]\nвек, столетие
ದಿನಾಂಕ	[dināṅka]\nдата
ಭವಿಷ್ಯತ್ತು	[bhaviṣyattu]\nбудущее
ಬೆಳಿಗ್ಗೆ	[beḷigge]\nутро
ಸಂಜೆ	[san̄je]\nвечер
ಭೂತಕಾಲ	[bhūtakāla]\nпрошлое
ಸೂರ್ಯೋದಯ	[sūryōdaya]\nвосход
ಸೂರ್ಯಾಸ್ತ	[sūryāsta]\nзакат
ವಾರಾಂತ್ಯ	[vārāntya]\nвыходные (конец недели)
ಆಹಾರ	[āhāra]\nпища
ತಿಂಡಿ	[tiṇḍi]\nзакуска, завтрак
ಭೋಜನ	[bhōjana]\nобед
ಪ್ರಕೃತಿ	[prakr̥ti]\nприрода
ಕೆರೆ	[kere]\nозеро
ಎಲೆ	[ele]\nлист
ಪರ್ವತ	[parvata]\nгора
ಸಾಗರ	[sāgara]\nокеан
ಜೌಗು	[jaugu]\nболото
ಅಲೆ	[ale]\nволна
ಹಣ	[haṇa]\nденьги
ಸ್ಮಶಾನ	[smaśāna]\nкладбище
ಬಂದರು	[bandaru]\nпорт, пристань
ಉದ್ಯಾನವನ	[udyānavana]\nпарк
ಗೋಪುರ	[gōpura]\nбашня
ಹಳ್ಳಿ	[haḷḷi]\nдеревня
ಚಿತ್ರಮಂದಿರ	[citramandira]\nкинотеатр
ಸೇತುವೆ	[sētuve]\nмост
ಕರಡಿ	[karaḍi]\nмедведь
ಮೊಸಳೆ	[mosaḷe]\nкрокодил
ಸಿಂಹ	[sinha]\nлев
ರಾಕ್ಷಸ	[rākṣasa]\nдемон, чудовище
ಹಂದಿ	[handi]\nсвинья
ಕುದುರೆ	[kudure]\nлошадь
ಕತ್ತೆ	[katte]\nосёл
ಪಕ್ಷಿ	[pakṣi]\nптица
ನೊಣ	[noṇa]\nмуха
ಕಪ್ಪೆ	[kappe]\nлягушка
ಕೀಟ	[kīṭa]\nнасекомое
ಸೊಳ್ಳೆ	[soḷḷe]\nкомар
ಇಲಿ	[ili]\nмышь
ಜೇಡ	[jēḍa]\nпаук
ಚೇಳು	[cēḷu]\nскорпион
ಧರ್ಮ	[dharma]\nрелигия
ದೇವಸ್ಥಾನ	[dēvasthāna]\nхрам
ಕನ್ನಡ	[kannaḍa]\nканнада (язык)
ಭಾಷೆ	[bhāṣe]\nязык (как система)
್	[-]\nвирама, знак отсутствия при согласном сопутствующего звука "а": ಕ್ к, ಗ್‌ г, и т. д.
ಇನ್ನೂ	[innū]\nещё, уже (ср. там. இன்னும்)
ಅವರು	[avaru]\nони
ಕಪ್ಪು	[kappu]\nчёрный
ಬೂದು	[būdu]\nсерый
ಬಿಳಿ	[biḷi]\nбелый
ನೀಲಿ	[nīli]\nсиний
ಹಸಿರು	[hasiru]\nзелёный
ಹಳದಿ	[haḷadi]\nжёлтый
ಕೆಂಪು	[kempu]\nкрасный
ಕಂದು	[kandu]\nкоричневый
ಬಣ್ಣ	[baṇṇa]\nцвет
ಹಾಸಿಗೆ	[hāsige]\nкровать
ವಿದ್ಯಾರ್ಥಿ	[vidyārthi]\nстудент
ಕೋಣೆ	[kōṇe]\nкомната
ಪುಟ	[puṭa]\nстраница
ಪ್ರಶ್ನೆ	[praśne]\nвопрос
ಶೌಚಾಲಯ	[śaucālaya]\nтуалет
ಮೊದಲನೆಯ	[modalaneya]\nпервый
ಎರಡನೆಯ	[eraḍaneya]\nвторой
ಮೂರನೆಯ	[mūraneya]\nтретий
ನಾಲ್ಕನೆಯ	[nālkaneya]\nчетвёртый
ಐದನೆಯದು	[aidaneya]\nпятый
ಆರನೆಯ	[āraneya]\nшестой
ಏಳನೆಯ	[ēḷaneya]\nседьмой
ಎಂಟನೆಯ	[eṇṭaneya]\nвосьмой
ಒಂಬತ್ತನೆಯ	[ombattaneya]\nдевятый
ಹತ್ತನೆಯ	[hattaneya]\nдесятый
ಚಾಕು	[cāku]\nнож
ಪದ	[pada]\nслово
ತೊಂದರೆ	[tondare]\nпроблема
ಏಕೆ	[ēke]\nпочему?
ಶೀಘ್ರ	[śīghra]\nскоро
ತಕ್ಷಣ	[takṣaṇa]\nбыстро, незамедлительно
ಮೆಲ್ಲಗೆ	[mellage]\nмедленно
ಜೊತೆಯಾಗಿ	[joteyāgi]\nвместе
ಯಾವಾಗಲು	[yāvāgalu]\nвсегда
ಸಾಮಾನ್ಯವಾಗಿ	[sāmānyavāgi]\nобычно
ಯಾವಾಗಲಾದರೂ	[yāvāgalādarū]\nиногда
ತಾತ್ಕಾಲಿಕ	[tātkālika]\nредко
ಸಾದ್ಯವಿಲ್ಲ	[sādyavilla]\nникогда
ದುಬಾರಿ	[dubāri]\nдорогой (стоимость)
ಇವತ್ತು	[ivattu]\nсегодня
ಈಗೀಗ	[īgīga]\nсейчас
ತಾರೀಖು	[tārīkhu]\nдата
ವಾರ್ಷಿಕೋತ್ಸವ	[vārṣikōtsava]\nгодовщина
ಮುಖ್ಯ	[mukhya]\nважный, главный
ಅತಿಥಿ	[atithi]\nгость
ಸಂಖ್ಯೆ	[saṅkhye]\nчисло, количество
ಜನ	[jana]\nлюди
ಗಂಡು	[gaṇḍu]\nмужчина, мужской
ಹೆಣ್ಣು	[heṇṇu]\nженщина, женский
ಒಬ್ಬ	[obba]\nособая форма числитильного ಒಂದು, употребляемая перед рациональными существительными (м. или ж.р.). числительное ಒಬ್ಬ может принимать прономинальные суффиксы м.р. (-ನು), ж.р. (-ಳು) ед.ч., в этом случае числительное ಒಬ್ಬನು / ಒಬ್ಬಳು стоит после с существительного, к которому относится: ನನಗೆ ಗಂಡು ಮಕ್ಕಳು ಮೂವರು, ಹೆಣ್ಣು ಮಗಳು ಒಬ್ಬಳು ಇದ್ದಾರೆ - у меня есть трое сыновей и одна дочь
ಇಬ್ಬರು	[ibbaru]\nдвое
ಮೂವರು	[mūvaru]\nтрое
ನಾಲ್ವರು	[nālvaru]\nчетверо
ಅಯ್ವರು	[ayvaru]\nпятеро
ನಾಡಿದ್ದು	[nāḍiddu]\nпослезавтра
ಮೊನ್ನೆ	[monne]\nпозавчера
ಆಚೆ ನಾಡಿದ್ದು	[āce nāḍiddu]\nпослепослезавтра
ಆಚೆ ಮೊನ್ನೆ	[āce monne]\nпозапозавчера
ಜನ್ಮದಿನ	[janmadina]\nдень рождения
ಆಳು	[āḷu]\nслуга
ಗಂಟೆ	[gaṇṭe]\nчас,‌ колокол
ನಿಮಿಷ	[nimiṣa]\nминута
ಆಗ	[āga]\nтогда,‌ в то время
ಯಾವಾಗ	[yāvāga]\nкогда?
ಮುಕ್ಕಾಲು	[mukkālu]\nтри четверти
ಸಾರ್	[sār]\nсэр
ಬಟ್ಟೆ	[baṭṭe]\nткань
ಪ್ಯಾಂಟ್	[pyāṇṭ]\nштаны
ಇಷ್ಟ	[iṣṭa]\nпредпочтение: ಇದು ನನಗೆ ಇಷ್ಟ - мне это нравится
ಮೀಟರ್	[mīṭar]\nметр
ಸಾಕು	[sāku]\nдостаточно
ಸರಿ	[sari]\nхорошо, ладно
ಇನ್ನೊಂದು	[innondu]\nдругой
ಗೊತ್ತು	[gottu]\nзнак, отметка, знание, знакомство: ನನಗೆ ಗೊತ್ತು - мне известно, я знаю
ಉಪ್ಪಿನಕಾಯಿ	[uppinakāyi]\nсоленья
ಸಂಬಳ	[sambaḷa]\nзарплата
ಸಾಲಲ್ಲ	[sālalla < sāku alla?]\nне достаточно
ಗೊತ್ತಿಲ್ಲ	[gottilla]\nне известно
ಇಷ್ಟೇಲ್ಲ	[iṣṭēlla]\nне нравится
ಸುಸ್ವಾಗತ	[susvāgata]\nдобро пожаловать
ದಯವಿಟ್ಟು	[dayaviṭṭu]\nпожалуйста
ಧನ್ಯವಾದ	[dhanyavāda]\nспасибо
ಖಂಡಿತ	[khaṇḍita]\nконечно
ಇರು	[iru]\nбыть
ಒಳಗೆ	[oḷage]\nвнутри
ಕೆಳಗೆ	[keḷage]\nвнизу
ಬೀದಿ	[bīdi]\nулица
ಮಧ್ಯಾಹ್ನ	[madhyāhna]\nвечер (после 4х дня)
ಮೇಲೆ	[mēle]\nнад
ವಾಸ	[vāsa]\nжить
ಹೊರಗೆ	[horage]\nснаружи
ತೋಟ	[tōṭa]\nсад
ಸಾಯಂಕಾಲ	[sāyaṅkāla]\nвечер
ರಾತ್ರಿ	[rātri]\nночь
ಕಷ್ಟ	[kaṣṭa]\nтрудность
ನೋಡು	[nōḍu]\nсмотреть, разглядывать
ಸರಸ	[sarasa]\nсочный, свежий (об овощах, фруктах), вкусный, остроумный, весёлый, общительный (о девушке)
ಸರಸವು	[sarasavu]\nвесёлось, остроумие, шутка, острота
ಆತನು	[ātanu]\nон (уважительное), также см. ಈತನು
ಆಕೆ	[āke]\nона (уважительное), также см. ಈಕೆ
ಈತನು	[ītanu]\nон (уважительное), также см. ಆತನು
ಈಕೆ	[īke]\nона (уважительное), также см. ಆಕೆ
ತಾನು	[tānu]\nсам
ತಾವು	[tāvu]\nсами
ಅಂಥ	[antha]\nтакой [как тот], тот (используется только в роли определения)
ಇಂಥ	[intha]\nтакой [как этот], этот (используется только в роли определения)
ಹಲ	[hala]\nмногий, многие
ಕೆಲ	[kela]\nнемногий, немногие, некоторые
ಹಲಬರು	[halabaru]\nмногие [люди], также ಹಲವರು
ಕೆಲಬರು	[kelabaru]\nнемногие, некоторые [люди],‌ также ಕೆಲವರು
ಹೆಲವು	[helavu]\nмногие [предметы]
ಕೆಲವು	[kelavu]\nнемногие, некоторые [предметы]
ವಸ್ಥ	[svastha]\nспокойный, тихий, здоровый (с хорошим здоровьем)
ಮಳೆ	[maḷe]\nдождь
